id,activity,localName,description,area,location,openingHours,duration,googleMapsLink,suitableFor,tags,rating,image,tips,notes,priceRange
BAL001,Tanah Lot Temple Visit,Pura Tanah Lot,"Iconic sea temple perched on a rocky outcrop, famous for stunning sunsets and spiritual atmosphere.",Bali,"Tabanan, Bali",07:00-19:00 daily,2-3 hours,https://maps.google.com/?q=Tanah+Lot+Temple+Bali,"Couples, Families, Photography Enthusiasts",#temple #cultural #sunset #photography #hindu #ocean #architecture #spiritual #historical,4.5/5,images/BAL001.jpg,Visit during sunset; Check tide schedules,Cultural dress code applies,IDR 75000 - 150000
BAL002,Ubud Monkey Forest,Mandala Suci Wenara Wana,Sacred monkey sanctuary with over 700 macaques roaming freely among ancient temples and lush jungle.,Bali,"Ubud, Bali",08:30-18:00 daily,1-2 hours,https://maps.google.com/?q=Sacred+Monkey+Forest+Sanctuary+Ubud,"Families, Nature Lovers, Adventurers",#nature #wildlife #monkey #forest #temple #family #photography #adventure #eco,4.4/5,images/BAL002.jpg,Don't bring food; Keep valuables secure,Morning visits recommended,IDR 150000 - 200000
BAL003,Tegalalang Rice Terrace,Ceking Tegalalang,"Breathtaking cascading rice paddies showcasing traditional Balinese irrigation system, with iconic swings and 'love nests' for panoramic views.",Bali,"Ubud, Bali",06:00-19:00 daily,2-3 hours,https://maps.google.com/?q=Tegalalang+Rice+Terrace,"All Ages, Photographers, Nature Lovers",#nature #agriculture #instagram #photography #scenic #cafe #swing #adventure #countryside,4.6/5,,Go early morning for best photos,Entrance to fields is free; swings cost extra,IDR 30000 - 300000
BAL004,Nusa Penida Island Tour,Pulau Nusa Penida,"Stunning island with crystal-clear waters, dramatic cliffs, and pristine beaches perfect for snorkeling and photography.",Bali,"Nusa Penida, Bali",07:00-17:00 daily,Full day,https://maps.google.com/?q=Nusa+Penida+Island,"Active Travelers, Adventure Seekers",#beach #island #snorkeling #nature #boat #photography #swimming #adventure #scenic,4.7/5,images/BAL004.jpg,Book boat early; Wear comfortable shoes,Roads can be rough,IDR 750000 - 1500000
BAL005,Uluwatu Temple Sunset,Pura Luhur Uluwatu,Clifftop temple offering breathtaking ocean views and famous Kecak fire dance performances at sunset.,Bali,"Uluwatu, Bali",07:00-19:00 daily,2-3 hours,https://maps.google.com/?q=Uluwatu+Temple,"Culture Lovers, Photographers",#temple #sunset #dance #cultural #ocean #cliff #performance #spiritual,4.7/5,images/BAL005.jpg,Watch for monkeys; Attend fire dance,Traditional dress required,IDR 100000 - 250000
BAL006,Waterbom Bali,Waterbom Park,"Asia's #1 waterpark featuring thrilling slides, lazy rivers, and family-friendly attractions in a lush tropical setting.",Bali,"Kuta, Bali",09:00-18:00 daily,Full day,https://maps.google.com/?q=Waterbom+Bali,"Families, Thrill Seekers",#waterpark #family #fun #swimming #slides #entertainment #modern #outdoor,4.8/5,images/BAL006.jpg,Book online; Bring sunscreen,Locker rental available,IDR 300000 - 750000
BAL007,Seminyak Beach Clubs,Pantai Seminyak,"Luxurious beachfront clubs offering stylish pools, cocktails, and sunset views in a trendy atmosphere.",Bali,"Seminyak, Bali",10:00-23:00 daily,4-6 hours,https://maps.google.com/?q=Seminyak+Beach,"Couples, Luxury Travelers",#beach #luxury #sunset #nightlife #dining #music #pool #cocktails #modern,4.6/5,images/BAL007.jpg,Reserve daybeds in advance,Minimum spend may apply,IDR 500000 - 2000000
BAL008,Sanur Sunrise Walk,Pantai Sanur,"Tranquil beachfront promenade ideal for early morning walks, cycling, and watching the sunrise over nearby islands.",Bali,"Sanur, Bali",24 hours,2-3 hours,https://maps.google.com/?q=Sanur+Beach,"Families, Seniors, Photographers",#beach #sunrise #walking #calm #traditional #photography #relaxation,4.5/5,images/BAL008.jpg,Visit early morning; Bring camera,Gentle waves ideal for families,IDR 0 - 50000
BAL009,Sekumpul Waterfall Trek,Air Terjun Sekumpul,"Adventurous trek through lush jungle to reach seven majestic waterfalls, considered among Bali's most beautiful.",Bali,"Buleleng, Bali",06:00-17:00 daily,3-4 hours,https://maps.google.com/?q=Sekumpul+Waterfall,"Adventure Seekers, Nature Lovers",#waterfall #hiking #nature #trek #photography #adventure #scenic,4.8/5,images/BAL009.jpg,Wear proper hiking shoes,Guide recommended,IDR 125000 - 300000
BAL010,Bali Safari Park,Taman Safari Indonesia Bali,"Expansive wildlife park offering close encounters with exotic animals, safari tours, and cultural performances.",Bali,"Gianyar, Bali",09:00-17:00 daily,4-6 hours,https://maps.google.com/?q=Bali+Safari+Park,"Families, Animal Lovers",#wildlife #safari #family #zoo #education #conservation #animals,4.6/5,images/BAL010.jpg,Book night safari in advance,Multiple show times available,IDR 350000 - 850000
